Density,Waiting Time,Time Loss,Speed,Travel Time
3.79,0.0,12.99,10.8,44.345
5.0600000000000005,0.0,9.625,11.775,40.0
2.79,0.0,5.575,13.094999999999999,36.385000000000005
5.825,0.0,12.17,11.934999999999999,39.644999999999996
5.265,0.0,8.23,12.8,36.49
6.960000000000001,0.0,11.99,12.795,36.775
8.905000000000001,0.0,14.05,12.434999999999999,38.09
7.52,0.0,13.600000000000001,12.18,39.019999999999996
9.415,0.0,16.565,12.7,37.25
7.285,0.0,9.825000000000001,13.325,35.51
9.82,0.0,15.895,13.25,35.769999999999996
10.545,0.0,21.765,12.145,39.08
14.43,0.0,29.97,12.125,38.885000000000005
14.0,0.0,24.189999999999998,12.26,38.5
11.55,0.0,18.105,12.715,37.255
15.799999999999999,0.0,27.365000000000002,12.635,37.519999999999996
16.05,0.0,22.66,12.195,38.760000000000005
15.34,0.0,28.865,12.39,38.16
12.030000000000001,0.0,15.635000000000002,12.26,38.785
13.919999999999998,0.0,25.7,12.34,38.36
13.17,0.0,20.005,12.86,36.8
9.8,0.0,13.835,12.67,37.15
9.905000000000001,0.0,19.155,12.6,37.61
13.585,0.0,26.81,12.265,38.614999999999995
11.53,0.0,20.03,12.510000000000002,37.745000000000005
18.7,0.0,32.37,12.42,37.94
14.295000000000002,0.0,21.35,13.11,36.099999999999994
10.14,0.0,14.215,13.105,36.175
9.41,0.0,17.05,12.335,38.205
11.28,0.0,19.91,12.665,37.26
13.629999999999999,0.0,26.6,12.54,37.755
13.225000000000001,0.0,21.59,12.23,38.58
9.345,0.0,15.67,12.2,38.495000000000005
11.01,0.0,24.145,12.59,37.625
10.2,0.0,17.43,12.66,37.175
11.79,0.0,23.23,12.295,38.66
14.395,0.0,24.835,12.645,37.415
10.33,0.0,21.045,12.065000000000001,39.05
16.744999999999997,0.0,29.06,12.16,38.985
17.740000000000002,0.0,31.58,12.065000000000001,39.08
10.094999999999999,0.0,18.505000000000003,12.115,39.03
9.934999999999999,0.0,14.765,12.579999999999998,37.730000000000004
9.075,0.0,13.5,12.530000000000001,37.66
18.36,0.0,31.79,12.21,38.894999999999996
10.504999999999999,0.0,21.994999999999997,12.77,36.8
13.82,0.0,20.775,12.565000000000001,37.879999999999995
16.175,0.0,28.89,12.275,38.599999999999994
13.375,0.0,24.655,11.45,41.235
18.655,0.0,31.884999999999998,11.905,39.825
19.46,0.0,32.54,12.035,39.105000000000004
16.575,0.0,35.945,12.204999999999998,38.75
17.34,0.0,29.335,12.31,38.44
17.775,0.0,30.785,12.31,38.405
13.625,0.0,23.57,12.73,37.195
19.625,0.0,35.305,12.190000000000001,38.875
17.009999999999998,0.0,29.725,12.585,37.455
17.55,0.0,25.37,12.865,36.78
14.6,0.0,28.55,12.02,39.15
14.969999999999999,0.0,23.22,12.115,38.91
9.325,0.0,20.08,11.725000000000001,40.239999999999995
9.805,0.0,19.445,11.695,40.315
11.93,0.0,19.27,12.65,37.315
12.18,0.0,16.55,12.774999999999999,37.09
11.975,0.0,21.835,12.98,36.48
12.83,0.0,26.435000000000002,12.33,38.239999999999995
12.165,0.0,22.675,11.935,39.6
11.825,0.0,20.6,12.815000000000001,36.905
11.155,0.0,17.78,12.395,38.04
12.02,0.0,21.865000000000002,12.455,37.89
10.555,0.0,16.74,12.305,38.365
13.31,0.0,30.465,11.265,42.205
5.15,0.0,10.360000000000001,12.475,37.915000000000006
13.81,0.0,22.07,12.675,37.489999999999995
15.39,0.0,32.415,12.260000000000002,38.61
12.190000000000001,0.0,20.85,12.31,38.14
11.705,0.0,19.725,12.75,37.22
15.305,0.0,24.410000000000004,12.844999999999999,36.81
12.04,0.0,25.065,12.615,37.515
12.905000000000001,0.0,24.205,12.775,36.805
16.125,0.0,28.26,12.465,37.935
13.954999999999998,0.0,25.03,12.67,37.445
16.15,0.0,30.175,12.395,38.225
12.399999999999999,0.0,23.28,12.11,38.760000000000005
12.835,0.0,21.5,12.425,37.99
16.155,0.0,26.515,12.665,37.32
11.835,0.0,19.8,12.56,37.675
11.28,0.0,19.189999999999998,12.39,37.985
11.15,0.0,22.2,12.51,37.755
19.255,0.0,29.585,13.085,36.209999999999994
11.190000000000001,0.0,21.385,12.645,37.39
8.35,0.0,15.225,12.16,38.675
8.795,0.0,16.145,12.56,37.565
9.605,0.0,15.65,12.405000000000001,38.165
15.33,0.0,28.630000000000003,12.530000000000001,37.775
16.565,0.0,30.630000000000003,12.245,38.43
14.955,0.0,24.085,12.649999999999999,37.435
10.765,0.0,21.185000000000002,12.434999999999999,37.995000000000005
18.75,0.0,30.11,12.600000000000001,37.705
