Average Flow
0.0
0.0
20.0
60.0
60.0
100.0
40.0
40.0
160.0
80.0
120.0
180.0
120.0
260.0
220.0
240.0
60.0
260.0
100.0
220.0
300.0
200.0
300.0
240.0
240.0
140.0
260.0
140.0
160.0
240.0
180.0
320.0
240.0
440.0
160.0
340.0
140.0
200.0
180.0
320.0
240.0
120.0
340.0
160.0
140.0
220.0
240.0
260.0
200.0
300.0
240.0
260.0
160.0
180.0
120.0
120.0
320.0
160.0
80.0
320.0
260.0
340.0
380.0
160.0
180.0
160.0
140.0
220.0
160.0
240.0
120.0
360.0
340.0
180.0
280.0
140.0
240.0
120.0
260.0
340.0
320.0
280.0
320.0
300.0
140.0
380.0
160.0
260.0
20.0
240.0
200.0
240.0
160.0
260.0
400.0
300.0
220.0
220.0
320.0
280.0
260.0
300.0
140.0
320.0
140.0
300.0
200.0
240.0
200.0
320.0
400.0
300.0
280.0
180.0
300.0
200.0
200.0
260.0
280.0
200.0
280.0
140.0
100.0
300.0
180.0
240.0
260.0
240.0
260.0
240.0
360.0
160.0
180.0
120.0
320.0
160.0
280.0
180.0
140.0
360.0
100.0
140.0
220.0
180.0
180.0
280.0
100.0
260.0
280.0
140.0
220.0
140.0
360.0
360.0
180.0
160.0
220.0
280.0
120.0
200.0
260.0
220.0
260.0
220.0
320.0
200.0
240.0
200.0
280.0
160.0
300.0
240.0
160.0
220.0
120.0
320.0
220.0
340.0
340.0
340.0
180.0
140.0
260.0
280.0
280.0
160.0
280.0
180.0
320.0
260.0
300.0
140.0
100.0
320.0
180.0
380.0
220.0
220.0
200.0
320.0
180.0
200.0
260.0
260.0
280.0
260.0
320.0
180.0
240.0
80.0
160.0
340.0
120.0
140.0
160.0
300.0
300.0
240.0
120.0
100.0
320.0
280.0
360.0
160.0
340.0
100.0
180.0
260.0
320.0
240.0
200.0
180.0
280.0
380.0
280.0
420.0
300.0
200.0
120.0
180.0
340.0
180.0
220.0
220.0
200.0
320.0
340.0
280.0
200.0
180.0
140.0
340.0
320.0
140.0
240.0
200.0
300.0
160.0
280.0
60.0
180.0
240.0
300.0
180.0
220.0
400.0
240.0
180.0
200.0
220.0
240.0
260.0
200.0
220.0
220.0
80.0
160.0
60.0
200.0
220.0
200.0
220.0
140.0
320.0
80.0
180.0
160.0
180.0
240.0
300.0
180.0
240.0
220.0
220.0
200.0
180.0
420.0
200.0
260.0
200.0
120.0
140.0
200.0
280.0
260.0
200.0
60.0
180.0
240.0
320.0
200.0
280.0
360.0
200.0
260.0
220.0
240.0
340.0
240.0
160.0
100.0
380.0
160.0
220.0
60.0
200.0
220.0
180.0
280.0
140.0
220.0
220.0
260.0
180.0
200.0
200.0
240.0
200.0
180.0
360.0
300.0
180.0
160.0
280.0
220.0
200.0
240.0
140.0
180.0
100.0
300.0
220.0
300.0
300.0
80.0
300.0
140.0
180.0
40.0
300.0
