Density,Waiting Time,Time Loss,Speed,Travel Time
0.31666666666666665,0.0,1.3133333333333332,3.4600000000000004,15.18
3.973333333333333,5.0,15.746666666666668,10.893333333333333,43.92333333333334
6.786666666666666,23.0,40.72666666666667,9.826666666666666,49.13666666666666
6.62,27.333333333333332,42.370000000000005,9.666666666666666,55.156666666666666
7.266666666666666,28.0,50.27333333333333,9.963333333333333,48.71
11.586666666666668,20.666666666666668,45.839999999999996,11.396666666666667,41.74333333333333
13.913333333333332,113.33333333333333,145.67666666666665,7.073333333333333,122.41333333333334
14.579999999999998,34.333333333333336,71.94666666666666,10.343333333333332,46.586666666666666
22.023333333333337,77.0,130.1,9.636666666666667,50.00666666666667
19.09,58.0,118.73666666666666,9.426666666666668,51.44
16.466666666666665,55.666666666666664,115.04666666666668,8.753333333333332,54.080000000000005
15.566666666666668,35.333333333333336,70.54333333333334,10.523333333333333,44.843333333333334
18.316666666666666,35.333333333333336,73.80333333333334,10.813333333333333,43.946666666666665
26.293333333333333,92.0,174.66666666666666,9.006666666666666,52.919999999999995
21.813333333333333,116.0,182.5666666666667,9.63,54.69
21.183333333333334,72.66666666666667,138.93666666666667,9.71,50.13666666666666
19.596666666666668,71.33333333333333,120.35333333333334,9.873333333333333,49.970000000000006
19.866666666666667,87.33333333333333,133.71666666666667,8.58,56.52
22.50666666666667,98.0,158.52666666666667,9.096666666666666,51.35333333333333
20.069999999999997,95.33333333333333,147.64333333333335,8.456666666666665,56.39333333333334
14.413333333333334,58.333333333333336,95.61666666666667,9.09,53.06333333333333
21.53333333333333,68.66666666666667,118.11333333333334,9.69,49.03
24.040000000000003,141.33333333333334,220.35333333333335,6.93,74.83
17.223333333333333,67.33333333333333,118.86666666666666,10.403333333333334,49.333333333333336
19.043333333333333,45.666666666666664,99.05000000000001,9.996666666666668,47.373333333333335
21.83,81.33333333333333,133.73999999999998,9.616666666666667,51.13999999999999
30.47,188.33333333333334,248.9466666666667,8.229999999999999,61.529999999999994
27.536666666666665,111.33333333333333,195.5,8.563333333333333,55.56666666666666
22.150000000000002,133.33333333333334,185.88,7.6433333333333335,62.82333333333333
20.883333333333336,106.33333333333333,174.03666666666666,7.69,62.67333333333334
22.64,69.0,132.77,9.966666666666667,48.06666666666666
