Timestep,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
16920.0,0.0,54.02,78.00999999999999,40.5,0.0,96.0,90.02000000000001,231.01999999999998,222.16,75.77,299.19,267.20000000000005,231.03999999999996,364.75,78.03,27.0,156.02999999999997,249.14,156.01999999999998,33.0,0.0,82.5,172.51999999999998,27.0,0.0
16940.0,0.0,63.0,129.57999999999998,33.0,0.0,6.0,114.04,228.38,129.14,61.370000000000005,180.66,157.60000000000002,193.62,292.87,0.0,28.5,91.52000000000001,168.15,39.0,27.040000000000003,0.0,6.0,79.6,57.099999999999994,0.0
16960.0,0.0,70.5,107.12,78.0,0.0,27.0,159.04999999999998,196.57,193.53,33.77,243.2,156.01,201.14,306.15,6.0,28.5,106.51,198.10999999999999,82.57,70.52,0.0,19.5,53.15,55.51,0.0
16980.0,0.0,12.0,76.50999999999999,49.5,0.0,0.0,60.0,274.59000000000003,222.12,18.0,127.46,148.79,216.22,276.18,33.0,81.0,112.72,105.00999999999999,111.14,6.0,0.0,18.0,84.61,99.02,0.0
17000.0,0.0,40.510000000000005,91.52,76.50999999999999,0.0,33.0,126.10000000000001,163.59,208.65,54.010000000000005,239.9,163.51999999999998,313.71,306.20000000000005,46.5,111.03,186.20999999999998,105.00999999999999,171.10999999999999,37.53,0.0,52.52,117.62,135.04000000000002,0.0
17020.0,0.0,84.72999999999999,144.02,36.1,0.0,49.59,70.71000000000001,232.62,91.62,49.61,184.54000000000002,57.22,130.77,130.74,12.0,24.58,111.05,114.26,156.92000000000002,0.0,0.0,33.59,36.15,6.0,0.0
17040.0,0.0,78.00999999999999,143.24,25.5,0.0,79.52,120.12,382.67,127.51,33.0,168.71,67.5,180.11999999999998,216.1,55.51,33.0,148.39000000000001,112.51,209.48000000000002,0.0,0.0,33.0,72.1,12.0,0.0
17060.0,0.0,72.02000000000001,21.04,6.0,0.0,130.51999999999998,27.05,333.88000000000005,136.51999999999998,0.0,161.23,48.25,193.62000000000003,175.52,64.52,0.0,113.98,85.57,108.13000000000001,6.0,0.0,19.51,94.6,28.52,0.0
17080.0,0.0,18.0,48.01,25.5,0.0,18.0,96.00999999999999,335.44,223.63,39.02,169.73,118.50999999999999,195.2,334.65000000000003,13.5,13.5,170.5,88.5,99.11999999999999,24.0,0.0,76.52,99.01,49.51,0.0
17100.0,0.0,40.5,55.129999999999995,13.5,0.0,76.53,150.06,380.44,238.63,112.6,220.53,220.57,208.62999999999997,237.12999999999997,13.5,34.5,140.37,127.52000000000001,106.53999999999999,84.03999999999999,0.0,113.33,196.57999999999998,138.03,0.0
17120.0,0.0,21.0,62.62,25.5,0.0,6.0,46.63,312.43,202.64,6.0,214.54,82.61,210.21,178.64,56.09,42.01,100.51,96.03999999999999,106.72,12.0,0.0,26.31,114.65,48.0,0.0
17140.0,0.0,36.01,92.63,40.5,0.0,6.0,69.01,339.23,261.21,25.52,43.53,103.5,246.20999999999998,291.03999999999996,54.67,70.50999999999999,100.51,118.5,75.0,55.510000000000005,0.0,26.31,123.11999999999999,107.09,0.0
17160.0,0.0,18.0,34.54,12.0,0.0,12.0,141.11,304.55,193.89999999999998,57.0,121.55,118.6,246.35,256.67,73.5,39.01,120.14999999999999,55.60000000000001,126.13,24.0,0.0,70.50999999999999,130.79,49.51,0.0
17180.0,0.0,46.5,69.00999999999999,33.0,0.0,25.51,178.58,231.21999999999997,291.17,76.50999999999999,240.12,171.02999999999997,223.63,283.90999999999997,103.5,76.50999999999999,193.64999999999998,88.5,148.51,60.01,0.0,106.51,208.51999999999998,90.02,0.0
17200.0,0.0,32.09,26.13,13.5,0.0,5.1,69.21000000000001,138.33,207.14,45.620000000000005,199.53,106.83000000000001,121.79,73.53,32.73,35.14,189.19,34.55,64.63,41.08,0.0,26.07,151.53,27.62,0.0
17220.0,0.0,33.0,13.53,40.5,0.0,0.0,69.00999999999999,226.6,186.06,70.59,152.23000000000002,208.64,241.76999999999998,193.56,44.77,25.5,120.03,64.50999999999999,78.00999999999999,33.0,0.0,40.5,159.62,86.11,0.0
17240.0,0.0,0.0,25.5,39.64,0.0,6.0,70.50999999999999,325.54,114.02000000000001,79.58,221.11,83.42,229.58,147.02,77.12,116.21000000000001,84.02,93.31,64.62,31.53,0.0,12.0,100.53,34.53,0.0
17260.0,0.0,0.0,46.5,53.1,0.0,12.0,75.0,231.23000000000002,52.5,69.00999999999999,273.64,140.37,238.61999999999998,141.18,60.0,95.11,178.61,69.13,126.01,114.05,0.0,75.00999999999999,106.51,123.02,0.0
