Timestep,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,0.0,31.5,19.5,0.0,0.0,12.0,34.5,25.5,11.9,6.0,6.0,0.0,19.509999999999998,12.01,33.0,40.510000000000005,6.0,19.5,6.0,6.01,0.0,18.02,0.0,39.0,0.0
120.0,0.0,0.0,6.0,18.0,0.0,6.0,12.0,0.0,25.5,28.5,21.0,39.04,12.0,0.0,0.0,21.0,31.5,33.010000000000005,18.0,12.0,0.0,0.0,25.5,21.0,0.0
160.0,0.0,31.52,34.5,6.0,0.0,6.06,25.53,27.04,25.5,13.5,12.0,46.5,0.0,46.5,12.0,6.0,69.05000000000001,40.5,31.5,19.5,0.0,25.5,31.5,42.03,0.0
200.0,0.0,6.0,6.0,6.0,0.0,21.0,6.03,97.6,39.0,0.0,21.0,46.5,40.5,54.0,21.0,27.0,39.14,18.0,6.0,6.0,0.0,19.5,24.6,12.58,0.0
240.0,0.0,39.0,31.54,42.01,0.0,12.0,24.009999999999998,40.6,103.66,46.510000000000005,6.0,75.1,103.71,52.5,12.0,21.0,74.9,88.51,54.14,33.0,0.0,12.0,13.5,28.5,0.0
280.0,0.0,21.01,60.6,108.01,0.0,0.0,93.24,33.0,6.0,13.5,28.51,33.0,76.59,90.12,33.620000000000005,63.65,46.59,54.09,40.5,0.0,0.0,6.0,13.5,13.5,0.0
320.0,0.0,6.0,13.52,12.01,0.0,0.0,109.64999999999999,30.77,37.510000000000005,6.0,12.0,40.65,60.37,19.66,6.0,51.01,25.59,45.13,126.01,6.02,0.0,0.0,6.0,28.5,0.0
360.0,0.0,34.5,49.5,42.010000000000005,0.0,63.07,120.02999999999999,101.21000000000001,208.53999999999996,112.56,78.02000000000001,139.55,139.53,201.10999999999999,49.5,49.51,133.51,133.54,214.55,48.08,0.0,42.010000000000005,42.0,106.52,0.0
400.0,0.0,40.5,21.0,49.51,0.0,49.51,96.00999999999999,140.95999999999998,114.01999999999998,36.01,19.5,208.58999999999997,171.02,156.01,93.01,55.51,54.0,141.01999999999998,135.10999999999999,33.0,0.0,6.0,40.5,6.0,0.0
440.0,0.0,39.0,40.5,121.53,0.0,19.53,156.02,135.01,133.51,39.0,61.5,193.6,147.97,186.32,66.0,73.5,118.53,97.5,73.50999999999999,61.56,0.0,52.51,39.0,69.02,0.0
480.0,0.0,40.5,47.07,70.55,0.0,0.0,127.51,85.58,67.5,6.0,19.5,141.01,193.53,112.52,84.61000000000001,47.06,106.55,112.60999999999999,108.11,25.59,0.0,55.5,48.0,43.51,0.0
