,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
58,210.0,400.0,260.0,200.0,240.0,280.0,195.0,330.0,225.0,240.0,160.0,285.0,270.0,360.0,160.0,340.0,120.0,300.0,285.0,180.0,210.0,180.0,240.0,240.0,240.0
59,180.0,180.0,360.0,280.0,240.0,220.0,135.0,255.0,180.0,320.0,440.0,165.0,405.0,195.0,320.0,140.0,150.0,390.0,120.0,240.0,180.0,240.0,240.0,160.0,300.0
60,120.0,140.0,260.0,280.0,210.0,180.0,270.0,210.0,270.0,140.0,80.0,240.0,150.0,330.0,120.0,60.0,270.0,255.0,420.0,120.0,90.0,220.0,140.0,160.0,150.0
61,90.0,200.0,160.0,100.0,60.0,140.0,180.0,180.0,195.0,300.0,180.0,300.0,345.0,195.0,200.0,140.0,150.0,210.0,150.0,140.0,90.0,140.0,240.0,180.0,60.0
62,300.0,200.0,160.0,180.0,120.0,160.0,255.0,360.0,300.0,140.0,220.0,450.0,285.0,255.0,160.0,260.0,360.0,360.0,450.0,160.0,90.0,220.0,180.0,100.0,180.0
63,390.0,120.0,240.0,260.0,210.0,420.0,180.0,285.0,195.0,160.0,360.0,120.0,375.0,225.0,260.0,220.0,240.0,285.0,105.0,260.0,150.0,200.0,180.0,260.0,60.0
64,120.0,80.0,200.0,260.0,120.0,260.0,450.0,435.0,435.0,400.0,280.0,420.0,270.0,330.0,460.0,200.0,480.0,270.0,450.0,280.0,90.0,320.0,220.0,260.0,240.0
65,150.0,300.0,260.0,360.0,90.0,320.0,285.0,300.0,315.0,160.0,280.0,375.0,360.0,435.0,260.0,260.0,285.0,285.0,255.0,220.0,210.0,280.0,320.0,200.0,270.0
66,480.0,240.0,500.0,180.0,240.0,380.0,330.0,450.0,285.0,340.0,420.0,285.0,435.0,255.0,220.0,360.0,435.0,495.0,435.0,340.0,300.0,320.0,180.0,320.0,210.0
67,300.0,400.0,220.0,320.0,270.0,280.0,330.0,300.0,270.0,200.0,240.0,285.0,315.0,480.0,200.0,180.0,300.0,315.0,270.0,200.0,300.0,400.0,360.0,320.0,180.0
68,270.0,260.0,280.0,280.0,150.0,320.0,225.0,255.0,255.0,240.0,300.0,240.0,270.0,270.0,360.0,320.0,135.0,195.0,285.0,460.0,180.0,220.0,220.0,240.0,330.0
69,120.0,160.0,180.0,140.0,150.0,160.0,255.0,270.0,345.0,140.0,160.0,330.0,90.0,300.0,180.0,200.0,210.0,270.0,405.0,300.0,180.0,140.0,100.0,220.0,210.0
70,120.0,120.0,300.0,100.0,60.0,140.0,180.0,315.0,120.0,220.0,140.0,90.0,405.0,180.0,280.0,220.0,165.0,240.0,105.0,140.0,0.0,160.0,220.0,200.0,60.0
71,30.0,120.0,100.0,220.0,120.0,180.0,195.0,285.0,345.0,220.0,80.0,420.0,240.0,255.0,80.0,80.0,330.0,180.0,270.0,220.0,90.0,220.0,120.0,120.0,30.0
72,30.0,160.0,260.0,180.0,30.0,80.0,345.0,240.0,240.0,340.0,200.0,195.0,225.0,195.0,320.0,160.0,195.0,330.0,300.0,80.0,0.0,200.0,260.0,240.0,150.0
73,210.0,260.0,160.0,100.0,120.0,220.0,285.0,495.0,450.0,200.0,280.0,345.0,330.0,495.0,360.0,200.0,420.0,540.0,285.0,100.0,180.0,220.0,160.0,220.0,150.0
74,180.0,420.0,300.0,280.0,180.0,240.0,270.0,285.0,225.0,280.0,260.0,255.0,375.0,330.0,240.0,360.0,285.0,435.0,300.0,160.0,240.0,220.0,420.0,280.0,90.0
75,330.0,180.0,480.0,220.0,270.0,420.0,330.0,495.0,360.0,300.0,340.0,345.0,495.0,330.0,220.0,500.0,465.0,180.0,390.0,280.0,240.0,260.0,280.0,160.0,300.0
76,210.0,260.0,260.0,360.0,240.0,220.0,240.0,240.0,300.0,260.0,340.0,300.0,300.0,345.0,160.0,220.0,330.0,360.0,330.0,240.0,360.0,200.0,260.0,260.0,330.0
77,180.0,280.0,440.0,180.0,120.0,240.0,150.0,210.0,90.0,80.0,340.0,225.0,330.0,210.0,440.0,320.0,300.0,270.0,150.0,260.0,300.0,160.0,280.0,280.0,180.0
78,240.0,280.0,140.0,220.0,30.0,220.0,180.0,255.0,240.0,340.0,200.0,345.0,360.0,345.0,240.0,260.0,180.0,240.0,285.0,180.0,150.0,160.0,220.0,140.0,330.0
79,60.0,180.0,320.0,120.0,150.0,320.0,210.0,165.0,195.0,140.0,340.0,165.0,405.0,105.0,320.0,120.0,165.0,240.0,195.0,280.0,120.0,180.0,140.0,180.0,150.0
80,120.0,60.0,80.0,260.0,120.0,240.0,390.0,330.0,375.0,200.0,120.0,420.0,285.0,405.0,40.0,280.0,300.0,300.0,315.0,180.0,120.0,180.0,140.0,160.0,180.0
81,150.0,220.0,240.0,260.0,60.0,360.0,165.0,240.0,120.0,300.0,320.0,285.0,390.0,180.0,180.0,240.0,225.0,285.0,180.0,180.0,120.0,160.0,320.0,160.0,180.0
82,210.0,200.0,260.0,320.0,150.0,340.0,510.0,420.0,435.0,140.0,260.0,390.0,315.0,435.0,280.0,320.0,285.0,435.0,360.0,440.0,150.0,300.0,240.0,260.0,120.0
83,210.0,320.0,360.0,240.0,360.0,220.0,375.0,330.0,285.0,220.0,360.0,300.0,495.0,360.0,360.0,200.0,390.0,360.0,150.0,140.0,240.0,260.0,280.0,260.0,510.0
84,450.0,300.0,380.0,280.0,360.0,440.0,405.0,555.0,270.0,300.0,460.0,360.0,405.0,390.0,380.0,420.0,240.0,465.0,435.0,580.0,240.0,280.0,420.0,160.0,390.0
85,450.0,440.0,180.0,300.0,180.0,240.0,285.0,285.0,330.0,240.0,260.0,315.0,420.0,375.0,300.0,220.0,300.0,360.0,240.0,200.0,270.0,340.0,300.0,260.0,240.0
86,390.0,240.0,360.0,160.0,330.0,360.0,240.0,315.0,135.0,180.0,360.0,240.0,375.0,225.0,300.0,260.0,225.0,255.0,210.0,360.0,180.0,240.0,260.0,240.0,300.0
87,210.0,240.0,100.0,120.0,150.0,200.0,360.0,240.0,300.0,220.0,120.0,360.0,240.0,240.0,160.0,300.0,195.0,225.0,375.0,260.0,150.0,200.0,180.0,120.0,150.0
