Timestep,A0A1,A0B0,A1A0,A1A2,A1B1,A2A1,A2A3,A2B2,A3A2,A3A4,A3B3,A4A3,A4B4,B0A0,B0B1,B0C0,B1A1,B1B0,B1B2,B1C1,B2A2,B2B1,B2B3,B2C2,B3A3,B3B2,B3B4,B3C3,B4A4,B4B3,B4C4,C0B0,C0C1,C0D0,C1B1,C1C0,C1C2,C1D1,C2B2,C2C1,C2C3,C2D2,C3B3,C3C2,C3C4,C3D3,C4B4,C4C3,C4D4,D0C0,D0D1,D0E0,D1C1,D1D0,D1D2,D1E1,D2C2,D2D1,D2D3,D2E2,D3C3,D3D2,D3D4,D3E3,D4C4,D4D3,D4E4,E0D0,E0E1,E1D1,E1E0,E1E2,E2D2,E2E1,E2E3,E3D3,E3E2,E3E4,E4D4,E4E3
14980.00,0,0,0,0,70.50999999999999,0,0,18.0,147.62,0,18.0,0,0,0,0,0.0,78.00999999999999,40.5,0,214.92,64.50999999999999,0,0,93.06,48.0,7.6,55.51,39.879999999999995,0,0,0,0,0,0.0,123.02000000000001,55.510000000000005,7.59,78.02,85.50999999999999,0,0,85.50999999999999,25.5,0,18.0,48.0,0,15.12,0,0,0,0,33.0,13.5,0,33.0,153.02,0,0,40.08,175.51999999999998,0,6.0,63.01,42.64,0,0,0,0,6.0,0,102.9,18.0,0,0,40.5,0,0,0,0
15000.00,0,6.0,0,63.01,45.14,0,12.0,0,177.47,0,0,6.0,19.5,0,40.5,34.5,0,0,33.010000000000005,298.61,0,48.0,55.519999999999996,37.6,0,55.51,0,7.59,0,19.509999999999998,19.5,40.510000000000005,19.509999999999998,66.06,0,0,70.53,45.1,45.11,63.04,69.83,37.6,15.09,12.01,0,22.63,25.5,48.0,25.5,27.0,40.5,0,0,0,62.84,0,60.15,48.0,27.009999999999998,0,148.52,18.009999999999998,0,0,69.61,48.0,0,6.0,6.0,0,0,221.61,0,13.5,28.5,0,6.0,0,19.509999999999998,0
15020.00,13.5,12.0,0,63.01,0,12.0,33.01,0,198.19,0,0,25.509999999999998,27.03,0,85.50999999999999,55.51,0,0,63.04,313.54,0,85.50999999999999,100.50999999999999,0.0,0,85.52000000000001,0,0,0,48.0,93.00999999999999,100.51,55.54,81.01,0.0,0,93.00999999999999,0,30.1,93.00999999999999,122.32,15.09,37.6,40.5,0,15.11,33.010000000000005,70.5,70.50999999999999,55.51,93.00999999999999,0,0,0,55.34,0,0,70.5,48.0,0,150.15,18.0,0,0,77.11,100.52,0,27.0,12.0,0,0,183.04,0,55.51,43.51,0,19.5,0,33.0,27.0
15040.00,0,0,0,0.0,12.0,15.09,0,6.0,193.53,0,12.01,14.07,0,0,15.1,30.12,0,6.0,22.62,51.02,33.01,7.59,0,55.5,19.5,30.15,12.0,33.04,0,22.68,0.0,96.01,7.59,27.65,42.0,0,0.0,19.5,27.03,30.24,22.61,42.019999999999996,70.54,0,19.509999999999998,63.03,0.0,37.71,0,0,30.19,0,33.01,27.01,0.0,18.0,25.509999999999998,15.09,30.13,13.51,93.05,7.59,0,13.5,87.61,30.15,0,0,20.23,0,0,201.03,6.0,0,20.15,0,0,0,0,0
15060.00,0,0,0,0,12.0,0,0,6.0,45.11,0,48.0,0,0,0,0,0.0,27.0,19.5,0,198.41,63.050000000000004,0,0,85.50999999999999,34.5,0.0,34.5,78.0,0,0,0,0,0,21.59,55.5,6.0,0,33.0,63.01,0.0,0,49.5,85.50999999999999,7.61,33.04,93.00999999999999,0,15.09,0,0,0,0,40.5,49.51,0,40.5,55.53,0,0,40.510000000000005,220.57999999999998,0,6.0,21.0,0.0,0,0,0,0,0,0,215.99,6.0,0,15.14,6.0,0,0,0,0
15080.00,0,0,0,0,0,18.06,12.0,0.0,34.57,0,73.60000000000001,12.02,0,0,6.0,21.0,0.0,0,12.0,261.29,0,34.53,6.0,51.01,0,48.06,73.53,0.0,0,11.14,12.02,12.0,19.5,40.53,7.59,0,12.0,7.59,0,0,27.1,58.51,0.0,13.5,0.0,66.01,6.0,0,12.01,6.0,6.0,0,0.0,66.03,12.0,0,51.02,12.0,12.01,0,141.02,19.52,0,0,55.67,13.51,0,0,0,0,0,27.02,0,0.0,33.64,7.6,0.0,0,0,0
15100.00,40.5,13.5,0,6.0,15.12,33.0,25.5,22.62,138.04000000000002,0,7.59,25.5,21.0,0,78.06,42.01,0,0,25.5,291.04,0,34.5,70.57,0,0,93.02000000000001,0,30.14,0,39.6,34.5,48.01,85.52,55.51,0,0,27.0,0,37.6,27.0,108.03999999999999,0,52.6,63.0,0,0,12.0,78.01,63.02,13.5,48.0,0,0,0,48.01,0,0,27.01,63.04,0,105.17,70.5,0,0,93.02000000000001,93.02000000000001,0,6.01,19.5,0,0,139.65,0,6.0,41.13,22.59,42.06,0,27.04,6.0
15120.00,48.0,27.0,0,21.0,0.0,78.1,55.5,0.0,183.02,0,6.01,48.0,49.5,0,115.52,64.50999999999999,0.0,0,55.510000000000005,82.66,0,70.50999999999999,78.00999999999999,0.0,0.0,93.00999999999999,0,52.739999999999995,0,62.11,43.51,72.00999999999999,130.53,78.00999999999999,0.0,0,36.01,0.0,45.1,57.01,123.03999999999999,0,6.0,93.02,0,0.0,36.03,175.53,93.00999999999999,28.5,93.00999999999999,0,0,0,57.01,0,0,70.53,78.00999999999999,0,157.61,85.52,0,0.0,123.01999999999998,100.50999999999999,0,0.0,21.0,0,0,186.03,0,43.51,48.730000000000004,0,57.01,0,70.55,21.01
15140.00,0,0,0,0,18.009999999999998,50.11,0,12.0,163.52,0,25.5,0,0,0,0,0.0,27.0,18.0,0,207.23,6.0,37.6,0,40.5,42.0,45.1,12.0,100.53999999999999,0,0,0,0,15.1,0.0,48.03,18.0,0,33.0,145.52,0.0,52.6,55.5,123.03,30.1,27.01,108.00999999999999,45.1,7.59,0,0,7.59,0,33.0,13.5,37.63,6.0,12.0,7.59,0.0,13.5,115.57,0,12.0,70.50999999999999,52.6,0,0,0,0,19.509999999999998,0,193.53,12.0,0,0,6.0,0,0,0,0
15160.00,0,0,0,0,33.05,0.0,0,12.0,170.15,0,25.5,0,0,0,0,0.0,48.01,48.0,0,281.41999999999996,6.0,0,0,78.01,70.5,7.62,55.53,108.02,0,0,0,0,0,0,70.50999999999999,48.0,0,48.0,160.52,0,67.6,63.0,145.53,0,27.0,115.50999999999999,0,0,0,0,0,0,63.0,28.5,22.61,33.0,25.5,0,0,21.0,145.51999999999998,0,19.5,85.52,0,0,0,0,0.0,25.5,0,171.64,12.0,0,0,18.0,0,0,0,0
