Density,Waiting Time,Time Loss,Speed,Travel Time
0.785,0.0,2.755,6.445,92.06
2.465,0.0,3.63,10.84,44.86
4.765000000000001,0.0,6.66,10.68,44.519999999999996
6.7250000000000005,0.0,8.9,12.120000000000001,39.245000000000005
5.78,0.0,4.71,13.17,36.065
4.93,0.0,6.949999999999999,12.39,38.144999999999996
5.8500000000000005,0.0,6.22,13.425,35.765
6.275,0.0,9.34,11.7,40.370000000000005
7.365,0.0,8.209999999999999,11.8,39.795
10.445,0.0,7.125,12.855,36.735
6.334999999999999,0.0,8.69,12.215,38.525
9.865,0.0,14.69,11.79,40.305
12.41,0.0,11.120000000000001,12.059999999999999,39.230000000000004
7.734999999999999,0.0,8.225,11.085,41.84
5.33,0.0,2.855,12.64,38.035
5.734999999999999,0.0,5.87,11.785,39.585
8.59,0.0,5.17,12.665,37.66
6.655,0.0,8.2,11.635,40.07
8.620000000000001,0.0,8.575,12.44,38.435
13.02,0.0,9.115,12.455,38.114999999999995
10.075,0.0,8.445,12.415,37.81
10.024999999999999,0.0,5.385,13.145,36.41
9.485,0.0,14.68,11.31,42.285
20.815,0.0,15.135,12.635000000000002,37.735
21.245,0.0,23.645,11.925,39.495
15.04,0.0,13.684999999999999,12.275,38.605000000000004
11.45,0.0,9.135,12.25,38.224999999999994
10.45,0.0,10.335,12.120000000000001,39.095
13.785,0.0,13.469999999999999,12.245000000000001,38.92
12.285,0.0,15.18,11.434999999999999,41.155
12.16,0.0,7.775,12.629999999999999,37.555
12.1,0.0,15.375,12.02,39.15
22.825,0.0,19.035,12.595,37.78
20.85,0.0,21.189999999999998,11.82,39.885
12.870000000000001,0.0,11.129999999999999,11.989999999999998,39.394999999999996
12.850000000000001,0.0,8.030000000000001,12.254999999999999,38.730000000000004
8.99,0.0,6.755,12.145,38.769999999999996
6.065,0.0,4.64,11.715,40.6
4.32,0.0,3.75,12.855,37.08
4.35,0.0,3.73,13.155000000000001,36.285
5.755000000000001,0.0,6.42,11.835,40.055
14.645,0.0,12.56,12.435,38.315
13.035,0.0,11.485,12.6,37.245
9.565,0.0,7.9,12.85,36.515
5.555,0.0,4.595,12.48,37.795
11.51,0.0,8.844999999999999,12.575,37.94
16.445,0.0,11.995000000000001,12.435,38.39
12.275,0.0,12.625,12.085,38.715
10.870000000000001,0.0,11.635,12.96,36.445
7.385,0.0,6.645,12.785,36.93
14.825,0.0,11.455,12.73,37.239999999999995
12.51,0.0,11.940000000000001,12.129999999999999,38.885
13.49,0.0,12.52,12.59,37.755
14.045,0.0,11.675,12.635,37.650000000000006
13.415,0.0,11.905,12.745000000000001,37.03
11.365,0.0,10.145,12.84,36.605000000000004
5.615,0.0,4.654999999999999,12.620000000000001,37.3
5.24,0.0,5.585,11.940000000000001,39.65
8.395,0.0,12.92,11.405000000000001,41.59
13.79,0.0,7.34,13.190000000000001,36.09
9.52,0.0,10.004999999999999,11.760000000000002,39.965
14.94,0.0,13.170000000000002,12.225000000000001,38.735
16.575,0.0,11.205,12.11,39.065
12.73,0.0,10.5,11.24,42.105000000000004
14.345,0.0,11.04,11.61,40.765
14.934999999999999,0.0,13.245000000000001,12.105,39.035
16.605,0.0,11.149999999999999,12.39,38.24
12.565000000000001,0.0,15.935,11.575,40.555
13.18,0.0,12.489999999999998,12.3,38.91
10.600000000000001,0.0,10.465,11.97,39.120000000000005
8.66,0.0,5.525,12.93,36.68
7.825,0.0,11.774999999999999,11.51,40.84
15.935,0.0,13.645,12.120000000000001,39.26
