Density,Waiting Time,Time Loss,Speed,Travel Time
2.675,0.0,7.24,8.504999999999999,58.535
6.91,0.0,6.425000000000001,12.085,39.52
5.6850000000000005,0.0,5.685,11.805,39.69
2.855,0.0,4.455,11.14,41.620000000000005
2.37,0.0,2.455,11.995000000000001,40.61
2.665,0.0,2.72,13.55,35.3
4.635,0.0,5.9350000000000005,11.495000000000001,41.019999999999996
7.4399999999999995,0.0,6.3149999999999995,12.440000000000001,38.325
5.395,0.0,3.99,12.11,38.08
5.43,0.0,5.545,13.145,36.265
6.48,0.0,5.4399999999999995,13.030000000000001,36.195
6.705,0.0,6.56,12.535,37.59
10.16,0.0,5.955,13.07,36.325
7.235,0.0,5.655,11.85,40.235
8.875,0.0,8.8,11.575,41.364999999999995
8.61,0.0,6.01,12.934999999999999,36.585
9.559999999999999,0.0,10.63,12.335,38.205
9.51,0.0,5.195,12.91,36.915000000000006
8.085,0.0,8.54,12.815,36.7
4.6,0.0,1.9249999999999998,14.504999999999999,32.905
8.285,0.0,8.895,12.565,37.519999999999996
11.379999999999999,0.0,5.97,13.34,35.585
6.73,0.0,6.555,11.899999999999999,39.815
14.53,0.0,10.195,13.015,36.545
15.95,0.0,14.88,12.425,37.915
17.415,0.0,15.24,12.370000000000001,38.445
16.345,0.0,13.675,12.08,38.980000000000004
13.495000000000001,0.0,14.26,11.96,39.21
10.615,0.0,6.795,13.32,35.545
7.305,0.0,7.949999999999999,11.985,39.295
13.545,0.0,9.375,12.965,36.785
15.855,0.0,15.58,12.25,38.57
20.104999999999997,0.0,12.43,12.515,38.09
15.335,0.0,13.120000000000001,11.844999999999999,39.730000000000004
15.454999999999998,0.0,16.8,12.08,38.935
12.24,0.0,5.92,13.64,34.655
9.945,0.0,8.02,12.195,38.89
13.305,0.0,6.609999999999999,12.615,37.825
10.645,0.0,11.375,11.524999999999999,40.64
14.235,0.0,12.03,12.675,37.43
14.965,0.0,10.075000000000001,13.094999999999999,36.155
15.535,0.0,10.795,12.89,36.83
12.16,0.0,12.075,12.255,38.19
7.03,0.0,5.98,12.344999999999999,37.575
4.275,0.0,2.8,12.205,38.685
6.915,0.0,8.83,11.665,40.845
13.395,0.0,7.845000000000001,12.765,37.355000000000004
14.225000000000001,0.0,17.185,11.92,39.435
16.495,0.0,14.845,12.795,37.07
10.955,0.0,9.254999999999999,12.475000000000001,37.715
17.6,0.0,14.66,12.370000000000001,38.0
17.79,0.0,16.27,12.09,38.84
19.0,0.0,13.705000000000002,13.08,36.35
15.425,0.0,14.95,12.635,37.165
7.880000000000001,0.0,7.23,13.035,36.21
9.120000000000001,0.0,6.744999999999999,13.32,35.39
8.51,0.0,7.595,12.535,37.675
10.49,0.0,9.870000000000001,12.035,39.265
11.93,0.0,10.895,12.265,38.5
13.34,0.0,11.05,12.885,36.64
9.59,0.0,11.629999999999999,12.37,38.03
13.184999999999999,0.0,9.309999999999999,12.870000000000001,36.925
9.59,0.0,7.414999999999999,12.219999999999999,38.34
10.495000000000001,0.0,12.2,12.105,39.265
14.125,0.0,11.995000000000001,12.655,37.45
8.725,0.0,8.55,11.64,40.02
14.46,0.0,10.955,12.775,37.144999999999996
13.68,0.0,10.71,12.985,36.43
10.34,0.0,8.235,12.91,36.565
8.645,0.0,7.640000000000001,12.6,37.29
7.61,0.0,6.99,12.265,38.69
7.51,0.0,7.67,12.120000000000001,39.209999999999994
12.615,0.0,12.44,12.085,39.165
11.79,0.0,9.32,12.25,38.95
10.105,0.0,16.585,10.969999999999999,42.864999999999995
13.135,0.0,8.48,12.865,36.995
10.29,0.0,8.41,12.41,37.775
13.61,0.0,17.23,11.985,39.715
15.985000000000001,0.0,26.375,10.9,43.48
16.64,0.0,16.175,11.89,39.83
15.875,0.0,13.485,12.485,37.89
12.72,0.0,9.905000000000001,12.465,37.67
8.219999999999999,0.0,4.715,12.54,37.795
7.550000000000001,0.0,6.3100000000000005,11.86,39.9
9.4,0.0,8.77,11.379999999999999,41.9
11.62,0.0,6.9350000000000005,12.66,37.595
16.92,0.0,13.805,12.595,37.735
13.71,0.0,9.375,12.415,37.995
6.9,0.0,8.64,12.04,38.849999999999994
4.925,0.0,2.715,12.004999999999999,37.555
10.72,0.0,11.200000000000001,11.945,39.879999999999995
16.75,0.0,12.595,12.239999999999998,38.975
13.01,0.0,14.295,12.325,38.045
10.495000000000001,0.0,10.835,12.51,37.185
10.105,0.0,9.175,12.325,38.44
17.155,0.0,12.075,12.43,38.224999999999994
14.71,0.0,14.969999999999999,11.625,40.69
16.805,0.0,15.61,11.89,39.980000000000004
16.915,0.0,14.15,12.004999999999999,39.33
16.7,0.0,14.865,11.82,39.99
15.870000000000001,0.0,10.594999999999999,12.17,39.055
10.955,0.0,11.23,11.645,40.29
10.33,0.0,9.455,12.08,39.36
12.44,0.0,11.875,11.93,39.695
16.335,0.0,11.254999999999999,12.415,38.05
10.035,0.0,9.9,11.98,38.84
9.875,0.0,9.015,12.649999999999999,37.43
13.325,0.0,14.515,12.254999999999999,38.724999999999994
20.575,0.0,19.555,12.355,38.504999999999995
22.365000000000002,0.0,13.204999999999998,12.48,38.004999999999995
13.44,0.0,13.585,11.665,40.17
11.899999999999999,0.0,13.665,11.985,39.32
11.754999999999999,0.0,10.98,12.515,37.53
18.335,0.0,13.29,13.035,36.46
13.95,0.0,8.8,12.805,36.875
12.58,0.0,11.22,12.49,38.07
13.865000000000002,0.0,11.415,12.715,37.465
13.059999999999999,0.0,11.55,12.135,38.925
11.645,0.0,9.625,12.29,38.08
8.8,0.0,10.595,11.355,41.335
16.619999999999997,0.0,13.879999999999999,12.274999999999999,38.754999999999995
17.455,0.0,11.75,12.645,37.435
14.129999999999999,0.0,10.92,12.695,37.21
9.83,0.0,9.445,12.275,38.435
10.260000000000002,0.0,8.505,12.605,37.59
11.11,0.0,10.165,11.82,39.975
10.115,0.0,8.86,11.765,40.129999999999995
9.605,0.0,8.015,12.195,38.879999999999995
7.83,0.0,10.309999999999999,11.280000000000001,41.455
11.004999999999999,0.0,8.899999999999999,12.41,38.125
11.115,0.0,11.89,12.07,38.865
13.774999999999999,0.0,8.025,13.69,34.79
11.29,0.0,10.39,12.92,36.305
