Density,Occupancy,Waiting Time,Time Loss
1.255,0.21000000000000002,0.0,3.3
5.03,0.84,0.0,9.285
9.149999999999999,1.5150000000000001,0.0,10.08
8.015,1.31,0.0,11.345
7.225,1.195,0.0,8.425
9.805,1.6099999999999999,0.0,13.14
9.305,1.535,0.0,12.265
15.545,2.56,0.0,19.085
14.79,2.4349999999999996,0.0,13.465
9.405,1.5350000000000001,0.0,8.06
6.345000000000001,1.045,0.0,4.3
7.635,1.2349999999999999,0.0,12.305
12.399999999999999,2.0549999999999997,0.0,10.06
8.675,1.42,0.0,6.655
10.46,1.73,0.0,15.844999999999999
14.67,2.43,0.0,12.635000000000002
16.235,2.65,0.0,17.74
16.305,2.705,0.0,12.620000000000001
25.7,4.23,0.0,21.47
29.34,4.865,0.0,19.335
19.799999999999997,3.21,0.0,23.335
17.8,2.9450000000000003,0.0,13.870000000000001
12.18,1.9849999999999999,0.0,9.295
18.755,3.105,0.0,15.275
15.445,2.5300000000000002,0.0,18.205
11.77,1.9,0.0,12.72
15.969999999999999,2.65,0.0,11.33
15.07,2.4699999999999998,0.0,11.45
14.41,2.375,0.0,9.3
12.84,2.0949999999999998,0.0,11.47
11.46,1.9,0.0,8.02
8.085,1.3,0.0,8.96
18.84,3.125,0.0,15.355
15.17,2.48,0.0,13.11
15.16,2.4850000000000003,0.0,16.835
19.939999999999998,3.2800000000000002,0.0,18.21
24.259999999999998,3.9850000000000003,0.0,20.695
24.545,4.0600000000000005,0.0,17.385
16.945,2.755,0.0,22.21
19.75,3.255,0.0,16.805
16.12,2.6399999999999997,0.0,14.765
15.969999999999999,2.63,0.0,14.490000000000002
17.8,2.925,0.0,18.314999999999998
24.84,4.085,0.0,26.810000000000002
20.1,3.315,0.0,16.935
20.805,3.41,0.0,25.845
22.18,3.6900000000000004,0.0,26.275
19.42,3.14,0.0,32.285000000000004
23.98,3.945,0.0,20.915
21.25,3.49,0.0,16.165
18.78,3.0949999999999998,0.0,15.09
19.0,3.135,0.0,16.355
18.79,3.09,0.0,14.59
