Density,Occupancy,Waiting Time,Time Loss
1.2266666666666666,0.20666666666666667,0.0,4.183333333333334
3.453333333333333,0.5766666666666667,0.0,2.856666666666667
3.9566666666666666,0.6533333333333333,0.3333333333333333,6.66
9.553333333333333,1.59,13.0,23.986666666666665
13.60666666666667,2.2399999999999998,11.333333333333334,30.266666666666666
12.219999999999999,2.0233333333333334,27.666666666666668,36.85666666666666
13.409999999999998,2.203333333333333,37.666666666666664,52.46666666666666
16.5,2.7266666666666666,25.666666666666668,42.419999999999995
21.063333333333333,3.4966666666666675,76.33333333333333,95.58333333333333
21.84,3.5500000000000003,25.666666666666668,74.15
19.63,3.2433333333333336,7.333333333333333,27.313333333333333
16.98,2.776666666666667,13.666666666666666,34.51
16.88,2.8000000000000003,37.0,54.35
20.643333333333334,3.3866666666666667,37.333333333333336,71.78666666666668
20.076666666666668,3.3233333333333337,29.0,44.96333333333333
20.686666666666667,3.4066666666666663,38.666666666666664,66.13
20.336666666666666,3.353333333333333,37.0,62.43
28.403333333333336,4.71,90.33333333333333,120.32666666666667
30.94333333333333,5.086666666666667,52.333333333333336,102.78333333333335
28.150000000000002,4.646666666666667,50.0,92.32666666666667
26.406666666666666,4.336666666666667,56.0,97.26
31.043333333333333,5.13,75.66666666666667,97.03333333333335
33.74333333333333,5.496666666666667,88.66666666666667,153.12666666666667
31.38333333333333,5.13,57.666666666666664,104.07333333333334
28.340000000000003,4.673333333333333,42.333333333333336,81.92333333333333
24.003333333333334,3.9433333333333334,30.0,57.10666666666666
28.099999999999998,4.653333333333333,63.666666666666664,93.22000000000001
31.176666666666666,5.09,37.0,90.62333333333333
32.86,5.41,55.333333333333336,93.98333333333333
35.126666666666665,5.760000000000001,46.0,101.38333333333333
36.373333333333335,6.026666666666666,70.66666666666667,117.42666666666666
37.89666666666667,6.246666666666666,100.66666666666667,180.27666666666667
31.310000000000002,5.163333333333334,50.666666666666664,101.90000000000002
29.03,4.7700000000000005,50.333333333333336,96.32
24.826666666666668,4.093333333333334,44.0,68.59666666666666
26.963333333333335,4.48,98.66666666666667,126.27333333333335
25.430000000000003,4.176666666666667,48.333333333333336,95.45
25.87666666666667,4.246666666666666,28.0,65.86
22.409999999999997,3.6566666666666667,24.333333333333332,54.53666666666667
22.76,3.763333333333333,42.666666666666664,61.93333333333334
29.5,4.823333333333333,49.0,102.68333333333334
34.06,5.626666666666668,25.0,71.03
