Density,Occupancy,Waiting Time,Time Loss
0.155,0.025,0.0,1.13
1.05,0.175,0.0,0.86
1.6150000000000002,0.26,0.0,3.5949999999999998
2.1500000000000004,0.36,0.0,1.925
3.8049999999999997,0.62,0.0,3.8649999999999998
4.215,0.6950000000000001,0.0,5.449999999999999
4.550000000000001,0.755,0.0,6.67
6.795,1.125,0.0,8.17
6.93,1.135,0.0,8.424999999999999
9.485,1.55,0.0,8.84
10.7,1.775,0.0,6.59
7.85,1.26,0.0,11.47
12.275,2.025,0.0,15.25
16.380000000000003,2.685,0.0,13.9
22.810000000000002,3.765,0.0,20.69
16.89,2.76,0.0,19.134999999999998
12.91,2.1100000000000003,0.0,13.025
15.71,2.585,0.0,15.504999999999999
16.82,2.765,0.0,11.52
17.630000000000003,2.9,0.0,14.465
16.945,2.765,0.0,17.345
22.31,3.6799999999999997,0.0,16.44
17.07,2.785,0.0,14.015
18.08,2.98,0.0,13.969999999999999
17.314999999999998,2.855,0.0,13.58
16.025,2.63,0.0,13.465
17.6,2.9,0.0,12.305
21.689999999999998,3.5600000000000005,0.0,20.555
20.509999999999998,3.395,0.0,18.740000000000002
15.389999999999999,2.485,0.0,19.47
18.29,3.035,0.0,17.345
15.78,2.58,0.0,17.509999999999998
23.655,3.92,0.0,27.26
22.275,3.6550000000000002,0.0,24.655
17.245,2.8200000000000003,0.0,18.17
18.145,2.99,0.0,16.76
22.71,3.7249999999999996,0.0,21.990000000000002
23.56,3.9,0.0,19.7
20.985,3.415,0.0,25.635
22.075,3.66,0.0,16.97
14.2,2.29,0.0,12.094999999999999
19.7,3.265,0.0,12.4
18.15,2.98,0.0,14.345
16.995,2.795,0.0,18.925
20.91,3.46,0.0,19.48
19.68,3.225,0.0,17.044999999999998
15.295,2.52,0.0,19.915
16.310000000000002,2.6550000000000002,0.0,20.08
21.439999999999998,3.555,0.0,19.235
18.185000000000002,2.955,0.0,21.61
27.65,4.5649999999999995,0.0,26.02
28.03,4.62,0.0,26.064999999999998
21.0,3.42,0.0,18.85
20.54,3.38,0.0,18.195
18.695,3.065,0.0,15.945
19.28,3.18,0.0,16.830000000000002
19.18,3.12,0.0,19.405
17.035,2.82,0.0,15.05
13.535,2.19,0.0,12.325
22.29,3.6850000000000005,0.0,19.689999999999998
23.915,3.9299999999999997,0.0,21.450000000000003
25.244999999999997,4.14,0.0,24.78
21.619999999999997,3.565,0.0,17.5
15.915000000000001,2.6,0.0,12.44
20.205,3.34,0.0,17.134999999999998
21.165,3.46,0.0,21.695
