Timestep,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
2020.0,109.41,1011.28,1403.73,1270.9699999999998,283.75,1465.76,1715.6,1774.55,2119.2200000000003,1104.54,1134.65,975.99,1011.5800000000002,2558.2299999999996,1532.28,801.6600000000001,1581.88,1222.3700000000001,1432.4,1478.0,101.03,1307.26,1701.7500000000002,1512.4,258.06
2040.0,109.41,907.77,1356.96,1277.0099999999998,298.75,1524.3500000000001,1673.4399999999998,1783.8600000000001,2205.18,1038.42,1155.66,1061.5,1132.62,2580.7200000000003,1584.8,818.79,1625.42,1177.0900000000001,1550.6100000000001,1518.5,108.52,1316.3500000000001,1702.06,1512.44,273.07
2060.0,116.91,952.79,1377.54,1255.85,313.7,1621.94,1727.31,1701.58,2209.09,1088.81,1208.12,1082.0300000000002,1032.31,2401.1,1712.32,854.92,1803.91,1239.72,1661.62,1593.52,108.52,1337.4099999999999,1754.5500000000002,1399.87,197.85
2080.0,116.91,980.64,1373.06,1338.93,298.93,1658.1,1746.81,1737.46,2212.14,1096.94,1237.86,1005.3,1026.3200000000002,2627.2699999999995,1637.32,902.3399999999999,1811.09,1026.65,1460.7,1634.04,108.52,1338.9099999999999,1806.76,1387.8799999999999,265.3
2100.0,124.41,1033.16,1409.08,1419.92,321.25,1260.0,1814.23,1908.4,1981.0900000000001,1153.93,1167.1399999999999,997.6,877.97,2670.71,1526.29,909.8399999999999,1828.46,887.39,1595.8300000000002,1551.5300000000002,116.02,1353.9099999999999,1903.33,1427.27,272.8
2120.0,139.42,978.33,1394.1499999999999,1440.94,255.29,1260.54,1839.82,1927.4,2098.81,1179.53,1182.1399999999999,1033.55,984.25,2438.3199999999997,1554.85,902.3399999999999,2046.0,1005.1100000000001,1700.85,1560.5300000000002,123.55,1382.43,2000.83,1479.82,295.3
2140.0,146.92,976.81,1431.58,1515.9499999999998,337.54,1393.11,1963.2999999999997,2180.88,2150.29,1125.46,1235.56,1077.0700000000002,1062.7,2646.88,1598.3,923.34,2271.17,991.3100000000001,1842.18,1575.54,131.02,1401.92,1948.3300000000002,1424.32,295.3
2160.0,161.92,1021.9,1431.58,1560.96,345.0,1573.28,1861.3,1955.63,2202.92,1119.46,1236.16,1226.96,1002.5400000000001,2463.33,1635.88,968.46,2344.38,1023.64,1729.69,1575.54,138.53,1461.93,1942.3200000000002,1431.79,310.3
2180.0,169.42,1059.42,1417.45,1526.4699999999998,352.5,1610.39,1492.27,1992.26,2079.95,1121.0,1170.15,1142.96,891.24,2619.08,1689.9099999999999,952.49,2434.4,990.4300000000001,1806.2,1451.96,78.55,1404.92,2023.3300000000002,1452.79,310.3
2200.0,199.42,1104.45,1454.91,1592.6100000000001,360.0,1714.45,1547.36,1990.0700000000002,2102.4399999999996,1179.53,1213.72,985.5500000000001,1050.77,2447.96,1138.69,967.56,2546.52,1058.43,1933.82,1521.95,146.02,1412.4,2098.38,1460.29,347.83
2220.0,206.93,1081.93,1445.91,1643.58,360.0,1435.8200000000002,1226.32,1999.0700000000002,2224.0,1187.03,1255.79,1315.8400000000001,816.62,2146.35,731.51,960.06,2658.8900000000003,1028.06,2002.9699999999998,1643.33,176.03,1454.46,2029.4199999999998,1410.81,370.31
2240.0,214.43,1140.48,1498.48,1681.12,367.51,1472.12,1462.17,1888.0500000000002,2363.55,1200.54,1309.45,1108.02,1069.99,2410.2799999999997,1197.9099999999999,1017.11,2675.87,1144.97,1881.31,1755.88,176.03,1521.93,2131.02,1431.79,377.81
2260.0,117.03,1134.48,1537.44,1684.1,375.0,1509.08,1457.98,1888.1200000000001,2316.74,1202.05,1325.06,859.04,1099.17,2453.5299999999997,882.36,1014.31,2855.5200000000004,1009.6300000000001,1963.94,1421.35,131.02,1556.5,2116.6099999999997,1412.29,385.31
2280.0,222.05,1186.99,1463.12,1766.6599999999999,390.01,1611.3200000000002,1578.25,1940.5700000000002,2344.12,1269.55,1370.04,841.57,771.64,2364.77,957.6900000000002,1050.36,2936.2700000000004,1076.2,2004.9399999999998,1511.47,138.65,1505.69,2184.13,1448.3,392.81
2300.0,221.4,1269.6200000000001,1470.67,1686.6699999999998,405.01,1690.8700000000001,1491.01,1984.1200000000001,2425.2,1386.71,1398.54,1133.86,1055.21,2170.05,1186.48,1095.42,3235.73,1184.1,2154.68,1683.83,183.53,1532.6299999999999,2217.3599999999997,1098.02,422.82
2320.0,266.43,1188.61,1611.72,1587.84,412.51,1632.33,1519.42,2159.89,2446.16,1371.66,1391.3,797.3199999999999,1220.23,2214.94,1491.68,1153.97,3459.6400000000003,1242.5,2061.39,1758.9,191.03,1636.1499999999999,2190.0699999999997,1132.86,422.82
2340.0,288.87,1245.62,1722.79,1677.5500000000002,420.01,1671.51,1645.7099999999998,2306.8199999999997,2470.19,1445.29,1428.26,1003.28,1371.51,2452.81,1634.2,1234.53,3414.4100000000003,1193.24,2157.2,1833.9699999999998,198.53,1681.1299999999999,2270.98,950.8,452.83
2360.0,296.37,1281.6299999999999,1592.21,1707.5700000000002,427.51,1681.48,1556.72,2132.27,2515.23,1374.75,1370.79,899.5899999999999,1003.3299999999999,2512.7799999999997,1679.4299999999998,1239.8799999999999,3189.5099999999998,1194.23,2211.23,1677.9099999999999,198.53,1601.6299999999999,2163.16,1070.1699999999998,460.32
2380.0,221.39,1326.65,1642.54,1767.5300000000002,427.51,1703.98,1607.7,2220.46,2635.24,1418.24,1408.9199999999998,899.85,1069.59,2385.71,1700.0300000000002,1309.57,3416.08,1260.02,2062.66,1779.96,221.03,1631.6399999999999,2283.12,1126.21,467.82
2400.0,296.37,1313.19,1627.56,1814.98,442.51,1805.21,1650.87,2378.0499999999997,2612.75,1431.75,1436.85,994.04,1239.81,2124.88,1817.7,1335.1699999999998,3760.37,1285.35,2083.7999999999997,1860.7400000000002,221.03,1688.6699999999998,2183.27,1117.3600000000001,385.48
2420.0,296.37,1371.79,1734.65,1889.98,450.01,1894.67,1720.7799999999997,2548.7900000000004,2723.76,1469.26,1531.78,1234.1399999999999,1376.5,2274.8900000000003,1890.7200000000003,1275.41,3630.8500000000004,1268.8,2218.89,1971.87,236.04,1726.1999999999998,2153.38,1150.28,460.33
