Density,Occupancy,Waiting Time,Time Loss
0.8724999999999999,0.14500000000000002,0.0,3.1599999999999997
3.1225000000000005,0.5175,0.0,3.4275
5.0875,0.8425,2.75,10.6375
9.725,1.6175,17.5,28.8075
15.5725,2.54,21.0,44.94
18.1575,3.005,30.75,48.86750000000001
19.2975,3.1325000000000003,51.0,77.935
22.59,3.6,28.0,52.522499999999994
32.215,5.26,44.0,75.3275
35.682500000000005,5.8149999999999995,54.25,105.17500000000001
37.36,6.075,110.75,139.55
38.72,6.260000000000001,110.5,169.69750000000002
42.39,6.885000000000001,129.5,171.7425
46.67,7.5925,111.0,197.5725
48.5425,7.924999999999999,158.0,220.59
46.37,7.630000000000001,181.75,233.14249999999998
42.4925,6.862500000000001,121.25,215.175
42.6275,6.93,157.0,194.455
45.47,7.365,121.0,191.46499999999997
48.4275,7.925,175.5,216.14249999999998
48.5675,7.8950000000000005,172.5,265.8425
46.3975,7.595000000000001,210.0,266.2475
49.725,8.1375,136.75,246.20749999999998
45.345,7.3925,161.0,221.5575
41.5,6.7475000000000005,214.75,266.1625
40.09,6.4875,129.75,212.65250000000003
41.545,6.782500000000001,105.75,184.8075
42.515,6.8999999999999995,118.5,194.3875
43.5075,7.132499999999999,161.5,203.015
40.855000000000004,6.610000000000001,133.5,219.13250000000002
36.8025,5.9825,146.5,191.385
41.5975,6.7525,129.0,200.86749999999998
42.824999999999996,6.99,117.0,171.07750000000001
42.724999999999994,6.96,138.0,205.88
39.712500000000006,6.4624999999999995,141.0,212.615
43.1425,7.047499999999999,170.5,215.74
47.6325,7.742500000000001,107.25,196.71
50.865,8.375,142.5,204.6
50.65,8.2425,140.5,253.29500000000002
47.379999999999995,7.7125,195.75,239.0875
47.44,7.72,173.5,253.965
46.339999999999996,7.505000000000001,153.0,215.51
46.4925,7.6274999999999995,165.75,219.2275
45.6425,7.455,133.5,215.01000000000002
52.265,8.5725,212.0,261.45
54.61,8.9025,141.25,277.2375
55.5025,9.1275,207.5,284.17
59.8125,9.7775,178.0,311.605
57.7,9.392500000000002,261.0,320.74749999999995
58.9125,9.6275,280.75,363.6875
60.400000000000006,9.895,222.75,355.21000000000004
60.400000000000006,9.9075,280.25,368.2375
61.63,10.055,239.75,370.46
64.64,10.635,263.75,358.58
68.7425,11.23,181.75,376.4125
73.6575,12.099999999999998,309.75,411.855
74.38499999999999,12.1975,292.5,464.025
